229.6051224214 193.9482681719 3.0000000000 
233.1406563273 197.4838020778 6.0000000000 
227.4838020778 203.1406563273 6.0000000000 
223.9482681719 199.6051224214 3.0000000000 
#

229.6051224214 193.9482681719 3.0000000000 
233.1406563273 197.4838020778 0.0000000000 
227.4838020778 203.1406563273 0.0000000000 
223.9482681719 199.6051224214 3.0000000000 
#

229.6051224214 193.9482681719 3.0000000000 
226.0695885155 190.4127342660 0.0000000000 
220.4127342660 196.0695885155 0.0000000000 
223.9482681719 199.6051224214 3.0000000000 
#

229.6051224214 193.9482681719 3.0000000000 
226.0695885155 190.4127342660 6.0000000000 
220.4127342660 196.0695885155 6.0000000000 
223.9482681719 199.6051224214 3.0000000000 
#

229.6051224214 193.9482681719 3.0000000000 
233.1406563273 197.4838020778 6.0000000000 
227.4838020778 203.1406563273 6.0000000000 
223.9482681719 199.6051224214 3.0000000000 
#
